flight,fault_type,precision,recall,f1,TP,TN,FP,FN
carbonZ_2018-07-18-12-10-11_no_ground_truth,Unknown_Fault,1.0,0.1553784860557769,0.2689655172413793,39,0,0,212
carbonZ_2018-07-18-15-53-31_1_engine_failure,Engine_Failure,1.0,0.0979020979020979,0.17834394904458598,14,0,0,129
carbonZ_2018-07-18-15-53-31_2_engine_failure,Engine_Failure,1.0,0.03418803418803419,0.06611570247933884,4,0,0,113
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,Engine_Failure,1.0,0.1953125,0.32679738562091504,25,0,0,103
carbonZ_2018-07-18-16-37-39_2_engine_failure_with_emr_traj,Engine_Failure,1.0,0.11570247933884298,0.2074074074074074,14,0,0,107
carbonZ_2018-07-30-16-29-45_engine_failure_with_emr_traj,Engine_Failure,1.0,0.029239766081871343,0.056818181818181816,5,0,0,166
carbonZ_2018-07-30-16-39-00_1_engine_failure,Engine_Failure,1.0,0.046052631578947366,0.0880503144654088,7,0,0,145
carbonZ_2018-07-30-16-39-00_2_engine_failure,Engine_Failure,1.0,0.08527131782945736,0.15714285714285714,11,0,0,118
carbonZ_2018-07-30-17-10-45_engine_failure_with_emr_traj,Engine_Failure,1.0,0.11188811188811189,0.20125786163522014,16,0,0,127
carbonZ_2018-07-30-17-20-01_engine_failure_with_emr_traj,Engine_Failure,1.0,0.10569105691056911,0.1911764705882353,13,0,0,110
carbonZ_2018-07-30-17-36-35_engine_failure_with_emr_traj,Engine_Failure,1.0,0.10810810810810811,0.1951219512195122,16,0,0,132
carbonZ_2018-07-30-17-46-31_engine_failure_with_emr_traj,Engine_Failure,1.0,0.06504065040650407,0.1221374045801527,8,0,0,115
carbonZ_2018-09-11-11-56-30_engine_failure,Engine_Failure,1.0,0.0962962962962963,0.17567567567567569,13,0,0,122
carbonZ_2018-09-11-14-22-07_1_engine_failure,Engine_Failure,1.0,0.0990990990990991,0.180327868852459,11,0,0,100
carbonZ_2018-09-11-14-22-07_2_engine_failure,Engine_Failure,1.0,0.12,0.21428571428571425,9,0,0,66
carbonZ_2018-10-05-15-52-12_3_engine_failure_with_emr_traj,Engine_Failure,1.0,0.11235955056179775,0.20202020202020202,10,0,0,79
carbonZ_2018-10-05-15-55-10_engine_failure_with_emr_traj,Engine_Failure,1.0,0.125,0.2222222222222222,18,0,0,126
carbonZ_2018-10-05-16-04-46_engine_failure_with_emr_traj,Engine_Failure,1.0,0.10576923076923077,0.19130434782608693,11,0,0,93
carbonZ_2018-10-18-11-03-57_engine_failure_with_emr_traj,Engine_Failure,1.0,0.036231884057971016,0.06993006993006994,5,0,0,133
carbonZ_2018-10-18-11-04-00_engine_failure_with_emr_traj,Engine_Failure,1.0,0.0958904109589041,0.175,14,0,0,132
carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,Engine_Failure,1.0,0.19444444444444445,0.32558139534883723,28,0,0,116
carbonZ_2018-10-18-11-04-08_2_engine_failure_with_emr_traj,Engine_Failure,1.0,0.11904761904761904,0.21276595744680848,15,0,0,111
carbonZ_2018-10-18-11-04-35_engine_failure_with_emr_traj,Engine_Failure,1.0,0.09243697478991597,0.1692307692307692,11,0,0,108
carbonZ_2018-10-18-11-06-06_engine_failure_with_emr_traj,Engine_Failure,1.0,0.21678321678321677,0.3563218390804598,31,0,0,112
carbonZ_2018-07-18-16-37-39_1_no_failure,Normal,0.0,0.0,0.0,0,27,4,0
carbonZ_2018-07-30-16-39-00_3_no_failure,Normal,0.0,0.0,0.0,0,63,8,0
carbonZ_2018-09-11-14-16-55_no_failure,Normal,0.0,0.0,0.0,0,36,4,0
carbonZ_2018-09-11-14-41-38_no_failure,Normal,0.0,0.0,0.0,0,45,4,0
carbonZ_2018-09-11-15-05-11_2_no_failure,Normal,0.0,0.0,0.0,0,77,3,0
carbonZ_2018-10-05-14-34-20_1_no_failure,Normal,0.0,0.0,0.0,0,74,6,0
carbonZ_2018-10-05-14-37-22_1_no_failure,Normal,0.0,0.0,0.0,0,72,12,0
carbonZ_2018-10-05-15-52-12_1_no_failure,Normal,0.0,0.0,0.0,0,97,18,0
carbonZ_2018-10-05-15-52-12_2_no_failure,Normal,0.0,0.0,0.0,0,42,7,0
carbonZ_2018-10-18-11-08-24_no_failure,Normal,0.0,0.0,0.0,0,29,2,0
carbonZ_2018-09-11-14-41-51_elevator_failure,Elevator_Stuck,1.0,0.07236842105263158,0.13496932515337423,11,0,0,141
carbonZ_2018-09-11-15-05-11_1_elevator_failure,Elevator_Stuck,1.0,0.021739130434782608,0.042553191489361694,2,0,0,90
carbonZ_2018-09-11-14-52-54_left_aileron__right_aileron__failure,Aileron_Stuck,1.0,0.11063829787234042,0.19923371647509577,26,0,0,209
carbonZ_2018-09-11-17-27-13_1_rudder_zero__left_aileron_failure,Aileron_Stuck,1.0,0.075,0.13953488372093023,12,0,0,148
carbonZ_2018-09-11-17-27-13_2_both_ailerons_failure,Aileron_Stuck,1.0,0.12389380530973451,0.2204724409448819,14,0,0,99
carbonZ_2018-09-11-17-55-30_1_right_aileron_failure,Aileron_Stuck,1.0,0.1,0.18181818181818182,16,0,0,144
carbonZ_2018-09-11-17-55-30_2_left_aileron_failure,Aileron_Stuck,1.0,0.16216216216216217,0.27906976744186046,12,0,0,62
carbonZ_2018-10-05-14-34-20_2_right_aileron_failure_with_emr_traj,Aileron_Stuck,1.0,0.0962566844919786,0.17560975609756097,18,0,0,169
carbonZ_2018-10-05-14-37-22_2_right_aileron_failure,Aileron_Stuck,1.0,0.09523809523809523,0.17391304347826084,16,0,0,152
carbonZ_2018-10-05-14-37-22_3_left_aileron_failure,Aileron_Stuck,1.0,0.10256410256410256,0.18604651162790695,12,0,0,105
carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,Rudder_Stuck,1.0,0.1,0.18181818181818182,8,0,0,72
carbonZ_2018-09-11-15-06-34_2_rudder_right_failure,Rudder_Stuck,1.0,0.15789473684210525,0.2727272727272727,12,0,0,64
carbonZ_2018-09-11-15-06-34_3_rudder_left_failure,Rudder_Stuck,1.0,0.06976744186046512,0.13043478260869565,6,0,0,80
